Surveys - Paused On,Survey Tag,Region,Account Type,Clicks_sum,Deliveries_sum,Opens_sum,Time since response,Account logValue,Churn
0,ITS,Yorkshire & the Humber,Target,0,0,0,497,0,0
0,ITS,Yorkshire & the Humber,Target,0,0,0,1463,0,0
0,ITS,South East,Target,0,0,0,110,0,0
0,ITS,West Midlands,Target,0,0,0,28,0,0
0,SSS,Northern Ireland,Target,0,0,0,1580,0,0
0,FSS,North East,Target,0,0,0,1580,0,0
1,SSS,London,Member,0,0,0,1580,10.15622874,0
0,SSS,London,Target,0,0,0,709,0,0
0,DTS,London,Target,0,0,0,119,0,0
0,FSS,South East,Target,0,0,0,1580,0,0
1,SSS,Yorkshire & the Humber,Target,0,0,0,1580,0,0
1,SSS,London,Target,0,0,0,1580,0,0
0,DTS,London,Target,0,0,0,1580,0,0
1,SSS,Scotland,Target,0,0,0,1580,0,0
0,DTS,London,Target,0,0,0,710,0,0
0,ITS,East Midlands,Target,0,0,0,1580,0,0
0,SSS,Scotland,Target,0,0,0,1580,0,0
0,ITS,,Target,0,0,0,204,0,0
0,FSS,London,Target,0,0,0,1580,0,0
0,SSS,London,Target,0,0,0,1580,0,0
1,SSS,North East,Target,0,0,0,1580,0,0
1,SSS,London,Target,0,0,0,1580,0,0
1,SSS,South West,Target,0,0,0,1580,0,0
0,SSS,South East,Target,0,0,0,24,0,0
1,SSS,Thames Valley,Member,0,0,0,1580,10.50687413,0
0,FSS,London,Member,0,196,15,1580,12.2778963,0
0,SSS,South East,Target,0,0,0,1580,0,0
0,ITS,South West,Target,0,0,0,1419,0,0
0,SSS,Thames Valley,Target,0,0,0,96,0,0
1,ITS,East of England,Member,0,0,0,1580,7.794946703,0
1,SSS,London,Member,0,0,0,1580,10.62170679,0
0,SSS,West Midlands,Target,0,0,0,69,0,0
0,DTS,North West,Target,0,0,0,47,0,0
0,FSS,Yorkshire & the Humber,Target,0,0,0,1580,0,0
0,ITS,East Midlands,Target,0,0,0,130,0,0
0,ITS,Scotland,Target,0,0,0,1580,0,0
0,FSS,London,Target,0,0,0,305,0,0
0,SSS,Scotland,Target,0,0,0,222,0,0
0,FSS,London,Target,0,0,0,1580,0,0
0,ITS,West Midlands,Target,0,0,0,1580,0,0
1,SSS,London,Target,0,0,0,1580,0,0
0,DTS,North West,Target,0,0,0,1314,0,0
0,FSS,West Midlands,Target,0,0,0,1580,0,0
0,SSS,London,Target,0,0,0,26,0,0
0,ITS,North West,Target,0,0,0,1580,0,0
0,FSS,Wales,Target,1,32,1,7,0,0
0,SSS,North West,Target,0,0,0,1580,0,0
0,ITS,North West,Target,0,0,0,308,0,0
0,DTS,London,Target,0,0,0,254,0,0
1,DTS,East Midlands,Target,0,0,0,1580,0,0
1,DTS,East of England,Target,0,0,0,1580,0,0
0,FSS,South West,Target,0,0,0,1032,0,0
0,SSS,London,Target,0,0,0,1580,0,0
0,SSS,North East,Target,0,0,0,223,0,0
0,SSS,West Midlands,Target,0,0,0,831,0,0
0,SSS,South East,Target,0,0,0,161,0,0
1,SSS,East Midlands,Member,0,0,0,1580,7.873217055,0
0,SSS,North West,Target,0,0,0,64,0,0
1,SSS,London,Member,0,0,0,1580,8.895535102,0
0,SSS,East of England,Target,0,0,0,71,0,0
1,SSS,London,Member,0,0,0,1580,9.14920512,0
0,DTS,West Midlands,Target,0,0,0,53,0,0
0,SSS,South West,Target,0,0,0,56,0,0
1,SSS,Scotland,Target,0,0,0,1580,0,0
0,DTS,East of England,Target,0,0,0,1580,0,0
1,SSS,London,Target,0,0,0,1580,0,0
0,FSS,London,Target,0,0,0,1580,0,0
0,SSS,West Midlands,Target,0,0,0,484,0,0
0,SSS,Scotland,Target,0,0,0,17,0,0
0,ITS,,Target,0,0,0,23,0,0
0,SSS,North East,Target,0,0,0,199,0,0
0,FSS,Wales,Target,0,0,0,1580,0,0
0,DTS,South West,Target,0,0,0,265,0,0
0,ITS,North West,Target,0,0,0,1554,0,0
1,ITS,Northern Ireland,Member,0,0,0,1580,8.517393171,0
1,SSS,North East,Member,0,0,0,1580,9.441531455,0
0,ITS,,Target,0,0,0,744,0,0
0,DTS,North West,Target,0,0,0,602,0,0
0,SSS,South East,Target,0,0,0,41,0,0
0,FSS,London,Member,0,0,0,511,10.5476936,0
0,SSS,Northern Ireland,Target,0,0,0,1116,0,0
0,DTS,London,Target,0,0,0,1159,0,0
0,SSS,London,Target,2,91,132,205,0,0
0,SSS,East of England,Target,0,0,0,1580,0,0
0,SSS,South East,Target,0,0,0,63,0,0
0,FSS,Thames Valley,Target,0,0,0,18,0,0
0,FSS,Northern Ireland,Target,0,0,0,1580,0,0
0,ITS,East Midlands,Target,0,0,0,1580,0,0
0,SSS,South East,Target,0,0,0,1580,0,0
0,FSS,East of England,Target,0,0,0,91,0,0
0,ITS,East Midlands,Target,0,0,0,1478,0,0
1,SSS,Scotland,Target,0,0,0,1580,0,0
0,FSS,East of England,Target,0,0,0,97,0,0
0,SSS,Northern Ireland,Target,0,0,0,433,0,0
0,ITS,West Midlands,Target,0,0,0,1571,0,0
1,SSS,London,Member,0,0,0,1580,8.119993828,0
1,SSS,North East,Target,0,0,0,1580,0,0
1,ITS,East Midlands,Target,0,0,0,1580,0,0
0,ITS,Northern Ireland,Target,0,0,0,34,0,0
1,ITS,South West,Target,0,0,0,1580,0,0
1,SSS,West Midlands,Target,0,0,0,1580,0,0
0,ITS,North East,Target,0,0,0,1580,0,0
0,SSS,London,Target,0,0,0,1580,0,0
0,FSS,East of England,Target,0,0,0,15,0,0
0,SSS,Scotland,Target,1,46,10,64,0,0
0,FSS,East Midlands,Target,0,0,0,1580,0,0
1,SSS,Northern Ireland,Member,0,0,0,1580,7.866733784,0
0,ITS,Scotland,Target,0,0,0,1580,0,0
0,SSS,South West,Target,0,0,0,67,0,0
0,ITS,London,Target,0,0,0,50,0,0
0,ITS,East Midlands,Target,0,0,0,84,0,0
1,ITS,London,Member,0,0,0,1580,12.33525108,0
1,SSS,South West,Member,0,0,0,1580,8.874531915,0
1,SSS,South West,Target,0,0,0,1580,0,1
1,SSS,East Midlands,Member,0,0,0,1580,9.43356392,0
0,FSS,London,Target,0,0,0,198,0,0
0,SSS,London,Target,0,0,0,1580,0,0
0,DTS,,Target,0,0,0,207,0,0
0,ITS,North West,Target,0,0,0,0,0,0
1,DTS,North East,Target,0,0,0,1580,0,0
0,SSS,East of England,Target,0,0,0,64,0,0
